article_id,Date,Headline,Snippet,Article_Sentiment_Score,Number_of_Sentiment_Words,Average_Article_Sentiment
52,2025-06-20T17:43:15Z,"16 billion passwords for Google, Apple, Facebook leaked in massive data breach, report says","{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why might the Fed cut interest rates in July? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Trumps Iran decisiâ€¦ [+688 chars]",-3,3,-1
54,2025-06-20T15:42:26Z,Why Apple Must Buy Perplexity,"Tim Cook ought to callÂ Perplexity CEO Aravind Srinivas and offer him $30 billion for his AI search engine. And he should do it right away.
Apple buying Perplexity is such an obviously good deal for â€¦ [+4086 chars]",-3,3,-1
55,2025-06-20T00:36:13Z,Apple Faces Class Action Lawsuit Over Crypto Scam App on App Store,"Apple is under legal fire for allegedly allowing a fake cryptocurrency trading app, Swiftcrypt, to appear on its App Store. A class action lawsuit filed in the Northern District of California claims â€¦ [+2995 chars]",-2,2,-1
56,2025-06-20T22:20:23Z,"Apple execs held internal talks about acquiring Perplexity AI, Bloomberg says","Earnings calls, analyst events, roadshows and more",-1,1,-1
57,2025-06-20T08:36:52Z,"QRG Capital Management Inc. Raises Stake in Apple Hospitality REIT, Inc. (NYSE:APLE)","QRG Capital Management Inc. lifted its stake in Apple Hospitality REIT, Inc. (NYSE:APLE â€“ Free Report) by 3.1% during the first quarter, according to the company in its most recent Form 13F filing wiâ€¦ [+5228 chars]",1,1,1
58,2025-06-20T07:48:49Z,Ameriflex Group Inc. Takes Position in Apple Inc. (NASDAQ:AAPL),"Ameriflex Group Inc. acquired a new stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the 4th quarter, according to the company in its most recent filing with the Securities and Exchange Commission â€¦ [+6798 chars]",1,1,1
59,2025-06-20T07:48:49Z,H&H Retirement Design & Management INC Cuts Holdings in Apple Inc. (NASDAQ:AAPL),"H&amp;H Retirement Design &amp; Management INC lessened its stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 11.1% in the fourth quarter, Holdings Channel.com reports. The institutional investor owâ€¦ [+6040 chars]",1,1,1
60,2025-06-20T07:48:48Z,Liberty Square Wealth Partners LLC Makes New Investment in Apple Inc. (NASDAQ:AAPL),"Liberty Square Wealth Partners LLC acquired a new stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, according to the company in its most recent 13F filing with the SEC. The instiâ€¦ [+5945 chars]",3,3,1
61,2025-06-21T07:19:11Z,Apple Inc. (NASDAQ:AAPL) Shares Sold by Pinnacle Wealth Planning Services Inc.,"Pinnacle Wealth Planning Services Inc. trimmed its stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 19.9% in the fourth quarter, according to the company in its most recent disclosure with the Secuâ€¦ [+6165 chars]",3,3,1
62,2025-06-21T07:19:09Z,"4,243 Shares in Apple Inc. (NASDAQ:AAPL) Purchased by Capital A Wealth Management LLC","Capital A Wealth Management LLC bought a new position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the 4th quarter, according to its most recent 13F filing with the Securities &amp; Exchangâ€¦ [+6672 chars]",1,1,1
63,2025-06-21T07:19:05Z,Integrated Advisors Network LLC Boosts Stock Position in Apple Inc. (NASDAQ:AAPL),"Integrated Advisors Network LLC lifted its position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 6.2% during the fourth quarter, according to its most recent 13F filing with the SEC. The institutionaâ€¦ [+6801 chars]",3,3,1
64,2025-06-21T07:51:10Z,Apple Inc. (NASDAQ:AAPL) Shares Sold by REAP Financial Group LLC,"REAP Financial Group LLC reduced its stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 1.9% during the fourth quarter, according to the company in its most recent disclosure with the Securities and â€¦ [+6144 chars]",1,1,1
65,2025-06-21T13:13:56Z,Wall Street Expert Calls For Another 50% Gain For Apple Stock,"Apple (NASDAQ:AAPL) stock has been one of the biggest laggards in the Magnificent Seven in recent years. The company is playing it slow and steady with Apple Intelligence, and as it opens up its wallâ€¦ [+144 chars]",3,5,0.6
66,2025-06-21T07:19:12Z,Bristol John W & Co. Inc. NY Trims Stake in Apple Inc. (NASDAQ:AAPL),"Bristol John W &amp; Co. Inc. NY trimmed its position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 2.2% during the fourth quarter, HoldingsChannel reports. The firm owned 1,114,978 shares oâ€¦ [+6999 chars]",1,1,1
67,2025-06-21T10:25:47Z,"Apple Sued By Its Own Shareholder Over Siri AI Feature Delay, Allegedly Misled Investors With Fake WWDC Demo, Causing Stock To Crash Nearly 13 Percent","Apple announced iOS 18 last year, and at the heart of the update was Apple Intelligence, which made the update a surprisingly big one compared to prior builds. Since Apple delayed one of the biggest â€¦ [+2496 chars]",-4,6,-0.6666666666666666
68,2025-06-21T13:00:26Z,How iOS 26 will upgrade your AirPods experience,"iOS 26 will not just make your iPhone better. It will also add several new features to AirPods, improving the already excellent experience of using Apples super-popular earbuds.
The changes will furâ€¦ [+3526 chars]",4,4,1
69,2025-06-21T12:05:39Z,Experts Predict Whether Apple Stock Can Make You Rich by 2035,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use â€¦ [+714 chars]",1,1,1
70,2025-06-21T08:35:00Z,Is Apple Stock In Trouble?,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use â€¦ [+714 chars]",-1,1,-1
71,2025-06-21T07:51:07Z,Bernard Wealth Management Corp. Purchases New Holdings in Apple Inc. (NASDAQ:AAPL),"Bernard Wealth Management Corp. purchased a new stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, according to its most recent Form 13F filing with the SEC. The firm puâ€¦ [+6973 chars]",1,1,1
72,2025-06-21T07:19:04Z,Lakeshore Capital Group Inc. Takes $2.36 Million Position in Apple Inc. (NASDAQ:AAPL),"Lakeshore Capital Group Inc. purchased a new stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, HoldingsChannel reports. The institutional investor purchased 9,428 shareâ€¦ [+5992 chars]",1,1,1
73,2025-06-21T07:18:59Z,Advisor Resource Council Reduces Position in Apple Inc. (NASDAQ:AAPL),"Advisor Resource Council cut its holdings in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 85.1% during the 4th quarter, according to its most recent Form 13F filing with the Securities and Excâ€¦ [+6818 chars]",1,1,1
74,2025-06-21T11:00:28Z,"Apple Considering Bid for AI Startup Perplexity, Says Report","Apple has held internal discussions about possibly buying Perplexity AI, a fast-growing artificial intelligence startup, according to a report from Bloombergs Mark Gurman.
The move could help Apple â€¦ [+2144 chars]",0,4,0
75,2025-06-21T23:02:12Z,New iPhone 17 Colors Purple and Green are Reportedly in Testing. Jumbo images provided,"TheÂ  iPhone 17, set to launch in September 2025, is poised to captivate with its base models potentially featuring two new colors: Purple and Green, currently being tested byÂ  Apple. While both are uâ€¦ [+520 chars]",2,2,1
76,2025-06-21T07:51:07Z,Apple Inc. (NASDAQ:AAPL) Stake Boosted by ABLE Financial Group LLC,"ABLE Financial Group LLC raised its position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 3.3% in the fourth quarter, according to its most recent disclosure with the Securities and Exchangâ€¦ [+6219 chars]",1,1,1
77,2025-06-21T23:22:20Z,Apple executives have held internal talks about buying AI startup Perplexity,"Apple Inc. executives have held internal discussions about potentially bidding for artificial intelligence startup Perplexity AI, seeking to address the need for more AI talent and technology.Adrian â€¦ [+137 chars]",0,4,0
78,2025-06-21T17:30:29Z,There is a very good reason why you should hold off buying the iPhone 17 Air for a couple of years,"A discussion is a place, where people can voice their opinion, no matter if it
 is positive, neutral or negative. However, when posting, one must stay true to the topic, and not just share some
 raâ€¦ [+1082 chars]",0,2,0
79,2025-06-21T15:28:35Z,"This Weeks Big AI News: Apple seeks deal with Perplexity, Oakley Meta introduce new AI Glasses & more from SoftBank, Foxconn, Anthropic+","The first AI stary of the week was the rumor that Apple Inc. executives have held internal discussions about potentially bidding for artificial intelligence startup Perplexity AI, seeking to address â€¦ [+5839 chars]",-2,4,-0.5
80,2025-06-21T07:57:24Z,Apple is considering buying Perplexity AI,"Nothing is final yet, and whether Apple acquires Perplexity AI or not heavily depends on whether it is forced to break off its current agreement with Google. Google pays Apple $20 billion annually toâ€¦ [+1461 chars]",-3,3,-1
81,2025-06-21T03:37:57Z,Apple faces lawsuit over alleged misrepresentation of AI progress and Siri delays,Apple Inc. is facing a significant legal challenge after shareholders initiated a class action lawsuit accusing the tech giant of overstating the progress of its artificial intelligence (AI) initiatiâ€¦ [+2120 chars],1,7,0.14285714285714285
